[2025-03-02 16:48:45] Received scan results from client 151
Invalid Props Reported by Client:
1. Category: Lights | Object: V_44_D_emis | Name: Light 36
2. Category: Lights | Object: apa_mp_h_lit_floorlamp_04 | Name: Light 39
3. Category: Lights | Object: hei_heist_lit_lamptable_05 | Name: Light 43
4. Category: Details | Object: v_20_ornaeagle | Name: Figurine adelaar
5. Category: Storage | Object: v_61_lng_mesh_unitc | Name: Bookcase white
6. Category: Bathroom | Object: prop_sink_03 | Name: Sink 5
7. Category: Walldecoration | Object: apa_mp_stilts_bed_art | Name: 3d art
8. Category: Walldecoration | Object: apa_mp_stilts_a_study_pics | Name: Paintingen
Starting furniture analysis from ak47_housing table...
=== Global Prop Usage Summary ===
Prop: prop_pc_01a | Used: 1 times
Prop: v_med_cor_photocopy | Used: 1 times
Prop: v_med_hospseating1 | Used: 1 times
Prop: v_ret_hd_unit1_ | Used: 2 times
Prop: prop_makeup_brush | Used: 3 times
Prop: v_corp_facebeanbag | Used: 17 times
Prop: prop_toilet_shamp_01 | Used: 5 times
Prop: prop_cs_office_chair | Used: 2 times
Prop: ch_prop_arcade_street_01d | Used: 7 times
Prop: prop_handdry_02 | Used: 1 times
Prop: ch_prop_arcade_love_01a | Used: 2 times
Prop: hei_heist_stn_chairarm_06 | Used: 4 times
Prop: v_res_fh_floorlamp | Used: 1 times
Prop: v_res_rosevase | Used: 11 times
Prop: w_sb_smg | Used: 33 times
Prop: vw_prop_casino_art_vase_01a | Used: 1 times
Prop: v_ret_fh_wickbskt | Used: 12 times
Prop: hei_heist_stn_sofa3seat_01 | Used: 12 times
Prop: v_ret_fh_plate3 | Used: 3 times
Prop: prop_laptop_01a | Used: 11 times
Prop: v_ret_fh_pot01 | Used: 1 times
Prop: prop_cherenkov_03 | Used: 34 times
Prop: prop_pooltable_3b | Used: 18 times
Prop: prop_pot_plant_02a | Used: 5 times
Prop: v_res_fa_candle01 | Used: 16 times
Prop: prop_printer_02 | Used: 2 times
Prop: apa_mp_h_str_shelffreel_01 | Used: 136 times
Prop: prop_chair_06 | Used: 1 times
Prop: prop_tree_eng_oak_creator | Used: 1 times
Prop: v_hair_d_bcream | Used: 1 times
Prop: apa_mp_h_lit_floorlamp_17 | Used: 1 times
